,,자치구명,,,,,,,,,물건금액(만원)
,,강북구,,,,,,,,,51500
,,동대문구,,,,,,,,,87000
,,구로구,,,,,,,,,6000
,,성북구,,,,,,,,,49500
,,관악구,,,,,,,,,76000
,,도봉구,,,,,,,,,18000
,,성북구,,,,,,,,,28500
,,서대문구,,,,,,,,,152500
,,성북구,,,,,,,,,34000
,,동대문구,,,,,,,,,20500
,,성북구,,,,,,,,,23400
,,관악구,,,,,,,,,99772
,,관악구,,,,,,,,,35000
,,금천구,,,,,,,,,23500
,,노원구,,,,,,,,,35000
,,동작구,,,,,,,,,36500
,,양천구,,,,,,,,,240000
,,강동구,,,,,,,,,13400
,,서대문구,,,,,,,,,15000
,,동작구,,,,,,,,,34000
,,강동구,,,,,,,,,32000
,,양천구,,,,,,,,,154000
,,강동구,,,,,,,,,59500
,,금천구,,,,,,,,,49500
,,강서구,,,,,,,,,106000
,,성북구,,,,,,,,,79100
,,중구,,,,,,,,,145000
,,서대문구,,,,,,,,,99000
,,중랑구,,,,,,,,,50000
,,은평구,,,,,,,,,43900
,,마포구,,,,,,,,,177000
,,강서구,,,,,,,,,37700
,,마포구,,,,,,,,,130000
,,노원구,,,,,,,,,51000
,,구로구,,,,,,,,,95800
,,서대문구,,,,,,,,,16000
,,성동구,,,,,,,,,243500
,,마포구,,,,,,,,,32500
,,성동구,,,,,,,,,148000
,,양천구,,,,,,,,,111500
,,은평구,,,,,,,,,74500
,,서대문구,,,,,,,,,121000
,,광진구,,,,,,,,,18000
,,관악구,,,,,,,,,31500
,,은평구,,,,,,,,,50000
,,마포구,,,,,,,,,190000
,,은평구,,,,,,,,,70300
,,용산구,,,,,,,,,29900
,,성북구,,,,,,,,,32000
,,성동구,,,,,,,,,85700
,,구로구,,,,,,,,,59000
,,마포구,,,,,,,,,137000
,,광진구,,,,,,,,,38000
,,강남구,,,,,,,,,70000
,,노원구,,,,,,,,,53500
,,성북구,,,,,,,,,18500
,,노원구,,,,,,,,,56200
,,노원구,,,,,,,,,57200
,,양천구,,,,,,,,,14500
,,관악구,,,,,,,,,11500
,,강남구,,,,,,,,,22000
,,구로구,,,,,,,,,13700
,,성동구,,,,,,,,,113000
,,도봉구,,,,,,,,,52000
,,강북구,,,,,,,,,55500
,,노원구,,,,,,,,,52000
,,관악구,,,,,,,,,77700
,,서초구,,,,,,,,,45500
,,강남구,,,,,,,,,22000
,,송파구,,,,,,,,,21000
,,동작구,,,,,,,,,130000
,,노원구,,,,,,,,,55000
,,서대문구,,,,,,,,,123400
,,노원구,,,,,,,,,59000
,,마포구,,,,,,,,,239000
,,노원구,,,,,,,,,46000
,,마포구,,,,,,,,,124000
,,강서구,,,,,,,,,54000
,,마포구,,,,,,,,,154500
,,중구,,,,,,,,,19000
,,양천구,,,,,,,,,38500
,,강동구,,,,,,,,,18100
,,중랑구,,,,,,,,,124000
,,도봉구,,,,,,,,,26000
,,동작구,,,,,,,,,109500
,,강북구,,,,,,,,,70800
,,서대문구,,,,,,,,,141000
,,구로구,,,,,,,,,44900
,,도봉구,,,,,,,,,28000
,,금천구,,,,,,,,,65800
,,중랑구,,,,,,,,,55200
,,은평구,,,,,,,,,36000
,,노원구,,,,,,,,,54000
,,노원구,,,,,,,,,52500
,,마포구,,,,,,,,,15000
,,양천구,,,,,,,,,67500
